timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,
4.32703,0.59616,-0.47405,11.95185,-0.05862,-0.1247,1.50032,,,,
4.36666,1.57538,2.04704,9.44513,0.47564,-0.12897,0.85614,,,,
4.4063,2.03507,0.17238,7.40048,-0.02838,0.05836,0.34813,,,,
4.44594,1.22583,2.04465,9.95988,-0.20717,0.04037,0.05196,,,,
4.48559,0.25379,-4.20901,7.70933,-0.03344,0.13603,0.05143,,,,
4.52523,-1.58736,1.64721,10.75475,0.58582,0.10059,-0.08567,,,,
4.56489,-1.29526,1.24977,7.66863,-0.19079,-0.06262,0.1323,,,,
4.60459,0.05028,-0.6177,9.05008,-0.02132,-0.04996,0.14562,,,,
4.64425,1.32878,-1.38864,9.97424,-0.00426,-0.08021,0.33827,,,,
4.6839,-0.76375,-1.67834,9.54329,0.0449,-0.06142,0.7818,,,,
4.72355,-0.12929,0.39744,8.89446,-0.0477,-0.02505,0.81178,,,,
4.76318,-0.46448,0.06704,6.51462,-0.18413,-0.05942,0.97206,,,,
4.80283,0.18196,-0.54588,10.30704,-0.24515,-0.0401,1.16258,,,,
4.84247,1.86029,1.17316,11.01572,0.14789,0.11485,1.20654,,,,
4.88212,1.6113,-1.69509,8.16662,-0.58995,0.09606,1.30087,,,,
4.92176,-2.5594,-0.25857,11.7268,0.07168,-0.27046,1.43996,,,,
4.96144,1.37906,-0.63686,8.32224,-0.08607,-0.06302,1.06358,,,,
5.00112,0.07183,-0.56024,9.63906,-0.15402,-0.05129,1.05559,,,,
5.04077,-0.84276,-1.41737,11.64779,0.10046,-0.09806,1.28875,,,,
5.0804,0.25379,1.29287,10.29746,0.33548,0.03651,1.14606,,,,
5.12004,2.19788,1.51553,7.99903,-0.09726,0.03437,0.8279,,,,
5.15968,3.62482,1.37427,9.96467,-0.0024,0.11458,0.90571,,,,
5.19931,1.16119,-0.32082,8.66701,-0.29564,0.24195,0.75036,,,,
5.23897,-0.58419,0.40462,12.07875,0.15548,-0.11644,1.02455,,,,
5.27863,-1.94409,0.249,9.52892,0.13123,-0.07181,1.14033,,,,
5.31827,0.6201,0.58179,9.31344,0.1684,-0.11724,0.90104,,,,
5.35791,1.38624,1.17795,9.52174,0.04756,-0.25514,0.85428,,,,
5.39756,-0.11492,-0.90022,9.90242,-0.2209,-0.05622,0.97938,,,,
5.4372,-1.17795,-1.56341,10.70448,-0.03544,-0.08847,1.37455,,,,
5.47684,0.65601,0.73263,9.63666,0.18706,0.09513,1.1274,,,,
5.51648,1.02711,-0.62489,7.93199,-0.07101,0.05409,1.2228,,,,
5.55613,-1.53947,-1.90578,12.61026,-0.1784,-0.14935,1.8222,,,,
5.59576,0.89064,-0.79966,8.20732,-0.07194,0.1363,1.35563,,,,
5.6354,1.4054,-0.60094,10.06762,-0.08327,0.11964,1.58492,,,,
5.67504,1.5275,-1.38624,11.36288,-0.45618,0.0922,1.24931,,,,
5.71468,-1.92015,1.37427,6.05733,0.47084,0.04676,0.9141,,,,
5.75431,-1.70707,-1.4054,9.34457,-0.23728,-0.17413,1.11928,,,,
5.79396,0.11971,-0.23942,11.64061,-0.11898,-0.03997,1.26996,,,,
5.8336,1.80044,-1.18752,11.50174,0.20944,-0.02145,1.13753,,,,
5.87325,1.96803,0.7422,6.66067,0.27073,0.18226,0.94781,,,,
5.91289,-0.74699,-1.74058,10.15381,-0.58902,-0.03584,1.50605,,,,
5.95254,-1.79805,-2.71024,9.6223,0.12404,-0.17067,1.61743,,,,
5.99218,1.34315,1.15401,7.40527,0.40329,0.0008,1.38707,,,,
6.03182,0.58897,-0.19393,11.70525,-0.04024,-0.12817,1.53269,,,,
6.07146,0.12929,0.65122,10.10832,-0.0461,-0.03264,1.61543,,,,
6.11109,1.45328,-0.92177,5.9065,0.02838,0.10405,1.23359,,,,
6.15073,0.29209,0.51954,11.35809,-0.16454,-0.20651,1.46288,,,,
6.19037,-0.51236,1.18752,9.09078,-0.16254,-0.23249,1.39347,,,,
6.23002,3.2202,0.27773,9.41161,0.33641,0.20677,0.72598,,,,
6.26966,-0.05028,2.229,7.93917,-0.17227,0.03584,0.51814,,,,
6.3093,0.16281,1.74058,10.87207,-0.03717,-0.09939,0.70706,,,,
6.34895,2.07577,-1.17316,9.4571,-0.01972,0.12524,0.81977,,,,
6.38859,1.10373,-0.36152,9.80186,0.48976,0.10792,0.78926,,,,
6.42823,1.00556,0.90501,8.12592,0.19385,-0.00453,0.67308,,,,
6.46786,0.25618,-1.54665,9.61033,-0.23928,-0.04024,1.00416,,,,
6.50751,-2.15239,-2.7653,10.14184,-0.00626,-0.11431,1.00283,,,,
6.54715,2.40857,0.79966,9.67018,0.0024,-0.03024,0.83669,,,,
6.58678,0.7422,-1.10373,8.72926,-0.28565,0.14256,0.75102,,,,
6.62642,-0.93134,-4.8722,8.44674,-0.33441,-0.13137,1.1691,,,,
6.66606,0.20111,-1.00078,11.77947,0.18759,0.05902,1.37135,,,,
6.7057,2.30083,-2.08056,8.63828,0.20877,-0.02758,1.60157,,,,
6.74534,1.52032,-0.62968,9.19373,-0.04237,0.16001,1.31193,,,,
6.78499,2.71024,1.16358,9.36133,0.27765,0.15868,1.18016,,,,
6.82462,1.54665,0.57461,9.86651,-0.10672,-0.01998,1.41771,,,,
6.86426,0.81403,0.13647,8.92798,-0.17773,0.07874,1.13207,,,,
6.9039,0.40462,0.98162,10.29028,0.18439,-0.04557,1.09929,,,,
6.94355,0.71347,0.10534,8.52815,-0.16561,-0.13017,0.90184,,,,
6.98321,0.93613,0.34237,9.43076,-0.14842,0.03158,0.68388,,,,
7.02285,0.85952,-0.02873,9.67736,-0.20371,-0.01612,0.72584,,,,
7.06249,0.75178,-0.17478,9.49301,-0.08513,-0.06608,0.97792,,,,
7.10212,-0.13408,0.5794,9.71806,-0.19039,-0.08713,0.92356,,,,
7.14176,0.15083,-1.08936,10.45548,-0.0036,-0.12764,1.10449,,,,
7.1814,1.50595,-1.36709,9.86172,0.3035,0.07554,0.97032,,,,
7.22105,1.60172,-0.12929,9.75158,0.09033,-0.06715,1.08464,,,,
7.26069,1.29526,0.35674,9.23204,0.08007,0.13283,1.11621,,,,
7.30033,2.14042,0.01676,9.2895,-0.09713,-0.01532,0.89038,,,,
7.33996,-0.2059,-1.26653,9.26795,-0.09393,0.18692,0.91663,,,,
7.3796,-0.4549,-1.14682,10.84813,0.1688,-0.20358,1.2569,,,,
7.41925,1.16598,0.56503,9.61751,0.14842,-0.09619,1.19402,,,,
7.45889,1.69749,-0.91459,8.47069,-0.03224,-0.01532,0.98498,,,,
7.49852,1.17316,-0.25379,10.43393,-0.15628,-0.09406,1.10689,,,,
7.53816,1.02472,-0.84994,8.34619,-0.20025,0.03837,1.02215,,,,
7.57781,-1.05824,-1.59693,10.56322,0.05502,0.04703,1.37321,,,,
7.61745,0.26097,-0.48602,8.69574,0.07075,-0.15442,1.41318,,,,
