timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
2.88634,0.13922,2.98639,11.00489,-0.01021,0.2212,0.313,,,
2.91948,0.13761,2.74622,9.84384,-0.01291,0.36182,0.22882,,,
2.95255,0.26046,1.81966,8.95547,-0.02501,0.22078,0.32113,,,
2.98558,-0.24507,2.53394,9.50608,-0.02641,0.06237,0.45495,,,
3.01866,0.05349,3.68433,11.02804,-0.02208,0.18671,0.2361,,,
3.05179,-0.02953,1.5904,9.28348,0.00372,0.3028,0.09432,,,
3.08482,-0.16743,0.6942,9.1297,-0.03297,0.06219,0.236,,,
3.1179,0.07221,1.79921,10.16867,-0.01224,0.07204,0.25058,,,
3.15098,-0.11556,0.83791,9.17806,-0.01339,0.06741,0.14348,,,
3.1843,-0.09868,0.2979,9.01651,-0.02102,-0.13488,0.13476,,,
3.21747,0.04872,-0.28362,10.20462,-0.0318,-0.1805,0.01081,,,
3.25051,0.02468,-1.68987,10.20531,-0.01577,-0.04732,-0.01558,,,
3.28363,0.0198,-2.09902,10.21787,-0.01636,0.02948,-0.03532,,,
3.31671,-0.00471,-2.38965,10.11418,0.00756,0.14446,-0.09104,,,
3.3497,-0.156,-2.49405,8.79998,0.0142,0.06663,-0.1069,,,
3.38282,-0.12951,-3.03692,9.51339,-0.02463,-0.15019,-0.0832,,,
3.4159,0.07442,-2.87376,10.92832,-0.00837,-0.01278,-0.04019,,,
3.44894,-0.01913,-3.07472,9.83583,0.01054,0.15476,-0.07614,,,
3.48207,-0.18182,-3.91009,9.03388,-0.01196,-0.01721,-0.05214,,,
3.5152,-0.04727,-2.2103,10.09821,0.0275,-0.03463,0.00447,,,
3.5483,-0.02681,-1.36697,9.71782,0.00449,-0.00309,-0.01158,,,
3.58131,-0.00374,-2.30218,9.93955,-0.00127,-0.00894,-0.05235,,,
3.6144,-0.03482,-3.15737,10.3677,-0.00525,0.06953,-0.03213,,,
3.64719,-0.09386,-3.64224,9.89385,0.01017,0.19098,0.02867,,,
3.68051,-0.24791,-3.94459,8.92517,-0.00333,0.08701,0.05237,,,
3.71369,-0.14294,-3.45792,9.63872,-0.01304,-0.05564,0.0665,,,
3.74677,-0.05687,-2.65266,10.31036,0.01609,0.06245,-0.03615,,,
3.77975,-0.25265,-2.6211,8.72596,0.03719,0.01396,-0.0899,,,
3.81293,-0.1625,-1.74932,9.01834,0.0125,-0.28379,-0.08466,,,
3.84601,0.07016,-1.50274,11.14478,0.0111,-0.17735,-0.131,,,
3.879,0.07701,-0.86342,10.41305,0.04142,0.10145,-0.0799,,,
3.91184,-0.10566,0.73622,9.30046,0.01982,0.07091,-0.12075,,,
3.94516,-0.2654,1.2129,9.33254,0.00278,-0.06173,-0.21719,,,
3.97832,-0.03346,1.50558,10.31671,-0.00544,-0.05204,-0.28124,,,
4.01132,-0.03691,2.23538,10.37669,0.01125,0.09583,-0.32044,,,
4.04417,-0.11359,2.52127,9.69909,0.00881,0.13206,-0.36027,,,
4.07731,-0.22506,3.0781,9.47144,0.00792,0.06055,-0.31873,,,
4.11057,-0.30668,3.31875,9.44776,0.01599,-0.02724,-0.24689,,,
4.14364,-0.35931,4.365,9.19584,0.04442,-0.12313,-0.1495,,,
4.17673,-0.3079,4.74675,9.01582,0.03924,-0.32156,-0.04323,,,
4.20981,0.30856,2.5481,10.83567,-0.03325,-0.35257,0.09481,,,
4.24271,0.31029,2.88369,12.1671,0.01537,0.11884,0.31222,,,
4.27573,-0.26419,3.87383,9.75963,-0.00659,0.36349,0.28553,,,
4.30882,-0.14276,2.95679,8.27528,-0.02585,0.1325,0.32939,,,
4.34214,-0.35943,2.7048,9.2069,-0.03366,-0.15197,0.4729,,,
4.37521,-0.05593,3.97839,11.7526,-0.04043,0.02502,0.23833,,,
4.40811,-0.08215,1.58676,9.77142,0.00667,0.34049,0.15595,,,
4.44114,-0.26496,1.04755,8.31757,-0.01572,0.0417,0.2151,,,
4.47447,-0.03979,1.21573,9.84766,-0.02911,-0.15656,0.24259,,,
4.50733,0.0423,0.33434,11.05195,-0.02324,0.05937,0.22397,,,
4.54044,-0.05869,0.39331,9.88415,0.00486,0.22682,0.23343,,,
4.57347,-0.14086,0.49081,8.97829,-0.01356,0.08477,0.11177,,,
